Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words I considered important was difficult.",Why?,Please briefly describe your process for selecting the words you considered important.,What characteristics of a word or phrase made you select a particular word as important?,"Think about a case where you considered selecting a particular word as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words as important.","What, if anything, could have been more clear about the instructions you were given for selecting words as important?",Please briefly describe the order in which you selected the words you considered important.,"Please respond to the following statement:When selecting words that I considered important, I selected only words that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Start Date,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-07 17:26:56,Somewhat disagree,There were two were I wasn't sure because they seemed neutral and didn't state any negative or positive comments toward the film.,I would look for key words that were mostly negative or positive toward the film to get the overall sense of the review's tone.,I mostly focused on the first and last sentence and see if they were consistent with the tone of the review.,Nothing about the instructions was confusing.,"Maybe add a ""Neutral"" option if the tester can't decide if it's either positive or negative.",,,,,,,,,,,,,,,,,,,,,18 - 24,Woman,,,,Hispanic or Latine,,,,,,,Bachelor's degree,,Yes,No,Yes,,88395,2021-09-07 16:50:44,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:27:03,Somewhat disagree,it was fairly obvious which were positive and which were negative as for the most part the language was straightforward,"I read the reviews and if the comments were positive then it was a positive review, if they were negative then it was a negative review.  I didn't overthink or over complicate! ",The overall message/what the words were saying rather than focus on individual words,N/A,"Using a laptop with moues ""pad"" - difficult to highlight chunks of text as I ran out of space on the pad, hence highlighting individual words",Somewhat disagree,clear distinction between positive and negative,I selected the words/phrases that seemed to provide evidence of positive/negative classification,whether it was positive or negative,If the phrase could be equivocal then I tended not to select it,N/A,"I read through the review, re-read it and started highlighting from the top to the bottom",Somewhat agree,I selected words that I felt were unequivocal ,N/A,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,No further comments,70925,2021-09-07 16:50:44,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:27:03,Somewhat disagree,Most of the reviews were very obvious in their opinions.  Only one or two needed a little digging.,I read the review and tried to determine what the overall opinion was.,"I focuses on the entire review, but particularly the summary at the end.",The instructions were fine although highlighting all the words was a bit of overkill.,No issues with the interface,,,,,,,,,,,Somewhat disagree,Most of the reviewers liked to elaborate by using many adjectives.  The only difficulty was determining if they were talking about features of the subject or their impression of it.,I considered all the words important but concentrated on the general direction of the review that got the point across.,"It was sometimes necessary to highlight a phrase rather than just one word, but generally, the most descriptive adjectives were highlighted.","Sometimes, it was a determination of whether it was just a different way of saying what had already been said.",I was unclear if a phrase could be highlighted of just single words.,I highlighted them according to how they appeared in the review.,Somewhat agree,Most were universally accepted positive or negative descriptions.,No issues with the interface,55 - 64,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,11603,2021-09-07 16:50:51,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:27:03,Disagree,"It was quite easy to make a judgement as to whether a review was positive or negative as most of the reviews contained very emotive language. For example, negatives reviews contained superlatives such as 'the worst' and adjectives such as 'awful'. The repeated use of positive or negative terminology throughout the review allowed me to make a clear judgement.

The only exception to this was when the reviewer was making comparisons between bad past movies, and the good movie they were reviewing.","I would try to get a rough idea of how many positive and negative adjectives the reviewer had used throughout their review. Then, I would judge whether they had used more positive, or more negative, adjectives. If they had used more negative adjectives, I would class it as a negative review, and the same for positive reviews with positive adjectives.","If the reviewer capitalised entire words and used negative superlatives such as 'the worst', I would judge it as negative. I found that positive reviews were less likely to capitalise entire words than positive reviews.

With positive reviews, I found that they were more likely to use repeated punctuation, such as multiple exclamation points.","I think it would have been better if the instructions had specified whether the reviewer had a positive opinion about the film now, or when they first saw it. Some of the reviews had comparisons between what the reviewers thought about the movie when it was first released, and comparatively compared to today's special effects, for example.",The strongly disagree to strongly agree buttons could have been colour-coded and more spaced-out in order to decrease the risk of users selecting the wrong one.,,,,,,,,,,,,,,,,,,,,,18 - 24,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,20751,2021-09-07 16:50:43,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:27:07,Disagree,"For the most part, the authors stated their opinion quite matter of factly such that there was no mistaking what they thought of the films.",I was looking for positive and/or negative words that they used to describe the movies.,Usually the first and last sentences would tell you right away how the person felt about the movie.,"Be sure to only highlight words they use to describe how they felt about the movie, not words describing the content of the movies.",i thought everything worked fine,Somewhat disagree,For the most part it was pretty clear what I needed to do. Though in some cases I felt maybe I was highlighting too much.,I was looking for positive and negative adjectives mostly.,The words are directly connected to the author's opinion of the movie and our cast and or fimmaking style of the director.,The adjectives were not used in the context of providing an opinion of the movie rather they were used to describe what actually happened in the movie - regardless of what the reviewer felt about the movie.,n/a,I worked in the order in which the review was written and then i went back to be sure i didn't miss anything,Neither agree nor disagree,"Maybe the words and phrases would appear in other reviews and myabe they won't. i made choices on what i thought, not what others might have thought.",none,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,Master's degree,,Yes,No,Yes,,99958,2021-09-07 16:50:45,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:27:16,Strongly disagree,Most reviewers were blatantly positive or negative about the film being reviewed.,Read the review to get an overall impression.,Words or phrases that denoted positivity or negativity toward the movie.,"Nothing, the instructions were clear.","Nothing, I had no problem completing the task.",Somewhat disagree,Sufficient positive or negative words and phrases were present in the reviews.,I looked for words and phrases that reinforced the overall positivity or negativity of the movie being reviewed.,Whether the words and phrases reinforced the overall positivity or negativity of the movie being reviewed.,I did not consider words and phrases that did not reinforce the overall positivity or negativity of the movie being reviewed.,"Nothing, instructions were clear.",I started at the start of the review and works my way down the review.,Disagree,I did not compare words between reviews.,"Nothing, user interfaces were easy to use.",,,,,,,,,,,55 - 64,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,89931,2021-09-07 16:50:50,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,,20
2021-09-07 17:27:43,Disagree,Most of them were easy to tell if people thought it was good or bad. There was a lot of emotion in most of the reviews.,"I tried to get a sense of whether they were enjoying or hating the movie. If they had fond memories it was positive. Of course, if they said they hated it that makes it obvious.","I focused on the descriptive words like loved, hated, best, boring, or great.",The only thing that confused me was the list of movies since it was several it was hard to tell exactly what they were saying.,It worked clearly and easily for me.,Agree,I was not always sure when it was in a phrase whether to include the whole thought or just a word sometimes.,I tried to do it from what I personally felt was conveying the thought.,"If it had extreme emotion in it. For instance, the worst or the best.","On one of them they stated they experienced the same feeling with another movie. I thought it was relevant, but then I was not sure if it was clear in the emotion of it.",Nothing.,After selecting the negative or positive I read the article and selected the most obvious phrases that fit the review.,Agree,"I think if it is an obvious positive or negative it could be reflected in most any movie. There may have been a few that were specific to that movie, but mostly basic words and phrases would be relevant to any movie.",Nothing.,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,71025,2021-09-07 16:50:50,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:28:00,Disagree,Most of the reviews used strong adjectives to help give the reader a visual representation of why they did or did not like the movie,I looked for the adjectives the authors used. ,The first sentence and the last sentence ,Nothing,Nothing,,,,,,,,,,,Somewhat disagree,I didn't know if I needed to highlight every negative or positive word or if I needed to only highlight the words as it related to the movie as a whole (example: not a specific character). ,I looked for the adjectives that described the movie as a whole.,If it was talking about the movie as a whole.,I chose to not highlight some words because they were describing a certain character in the film as opposed to the film as a whole. ,Nothing,I started at the top of the review and worked my way down to the bottom. ,Strongly disagree,I didn't think about it. ,Nothing. ,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,Thank you ,38305,2021-09-07 17:08:02,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:28:05,Somewhat agree,because a few of the reviews seemed vague and I could tell for sure if they were positive or negative,"The way I determined whether the review was positive or negative was the use of the wording in the review, whether the words were praising the movie, or the words used were speaking badly about the movie",I looked over the review as a whole and if there was more positive or negative in the review ,nothing I can think of,the user interface was fine for me so I don't see any need for improvement in my opinion,Somewhat agree,because there were many words in some of the reviews and I just wasn't quite sure which words to use exactly,I chose words that seems to either be positive or negative depending on how I thought the review rated. I just did my best ,"characteristics were if the word or phrase was a positive or negative word and if it went together as a phrase or by itself. I am not very good at explaining, I hope this makes sense",I didn't come across this particular issue so I can't describe the situation,I am not sure,I am not really sure what you mean by the order of the word or phrases I considered important,Disagree,because I didn't really think about what words or phrases appeared in other reviews or not,I don't know,,,,,,,,,,,55 - 64,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,35649,2021-09-07 16:50:31,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:29:13,Disagree,Most reviews authors had a very strong opinion which made it clear how they felt about the film. They were either really positive or really negative which made it easy to judge,If they talked about loving the film and showed interest in it then it is a positive review. If they don't recommend it and criticise it it is a negative review ,"It often told you immediately what they thought, with a brief introduction to their review. But reading the full review is important to judge it",They were very clear,No issues or improvements,Somewhat disagree,Key positive or negative words were easy to select but sometimes you would've needed to highlight entire sentences to show the emotion of the reviewer. Some were harder to cut down to a word or phrase,Positive or negative adjectives were the best to highlight as they clearly showed the attitude of the review. So I would highlight all the adjectives and then look for phrases that showed emotion and opinion,The level of emotion or description behind them. Short snappy words that summed up the review,I began selecting a phrase but realised I would have to highlight the majority of the sentence to show what the reviewer meant. This wasn't a brief phrase so I chose to not select it,Perhaps the length of phrases we should choose,I read the entire review again and selected them as I read,Somewhat agree,Adjectives that were used across reviews can quickly tell you what the attitude of the entire review is so are useful to highlight,No improvements or errors,,,,,,,,,,,18 - 24,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,74407,2021-09-07 16:51:08,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:29:17,Disagree,"I didn't find it too difficult, most were discernible off the bat.",Key words of hate and dis contempt towards the film littered throughout or vice versa. ,Mostly the writing and intention. ,I felt they were clear as is to be honest. ,"The user interface was fantastic although the font could be smaller, maybe an option to avoid eventual scrolling. ",Somewhat disagree,At times it wasn't so clear whether the author enjoyed the movie or not.,"Finding words of emotion, anger happiness sadness etc. was the easy part. ",Just finding and understanding what key words mean in regards to describing certain emotions. ,At times the viewer was more remembering the film and somewhat apathetic. ,Instructions were clear as is. ,Those describing emotions such as anger and happiness there was no order just relevance. ,Disagree,"i selected words relevant to the article I was reading, nothing else. ",UI was fine as is. ,,,,,,,,,,,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,15289,2021-09-07 16:53:32,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:31:29,Disagree,Because the words used were clearly positive or negative,the words used either associated with positive or negative feelings and often strong phrases to give ones opinion about movie,"mostly positive or negative words to describe acting, special effects or plot",it was very clear,very easy to use,Disagree,because of the association we have to negative or positive words,words we use everyday to describe a feeling of positive or negative and they stood out in the process,strong words that evoke a feeling of positive or negative,"a phrase that was negative describing the acting, i chose not to select it as although the whole review read as negative i felt it was just someone's over opinionated opinion ",nothing ,first strong words associated with negative and positive opinion and then phrases that i though added to the negative or positive read of the review ,Somewhat agree,Because they are words you associate with negative or positive reviews/descriptions,i didn't encounter any problems,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,51037,2021-09-07 16:53:16,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:32:25,Somewhat agree,"Some of the reviews didn't properly state if it was a positive or a negative review. I feel like some of them could be labeled as unknown or unable to tell. one of the reviews stated that the movie was memorable, but they didn't really go to in-depth with it to say what they did or didn't like about the movie.",Usually the first sentence of the review will hint about the rest of it.,"Positive words such as brilliant, good, amazing or negative words such as bad, sickening, horrible... etc",Everything was clear enough for me. I understood what I had to do.,"I wouldn't change a thing about the user interfaces. Although, I believe there should have been a unknown option between the positive and negative options. Some reviews were hard to discern.",Disagree,"For me it was easy to pick out which words were positive for the review or which words were negative. So, I didn't really have a problem with that aspect of the review process.","In the review if there is a sentence that plainly states that the reviewer thinks that the movie is good, amazing, or terrific then I will most likely highlight these words. It's also the same for negative words for the reviewer. I look for description words mainly and how the reviewer personally feels.",I look for description words mainly. I feel like that's the best way to acknowledge if the review is positive or negative.,"Certain words in the reviews were mainly about an actor or actresses’ performance in the film and while that is important, what I was looking for is how the reviewer feels about the movie. An actor’s performance can be horrible in a movie and yet the movie can still turn out to be pretty good. What I'm looking for is to them say “the movie is bad”, “the special effects were horrible”, “I wouldn't recommend this to anyone”. Things like that.",The instructions were clear. I didn't have any problems understanding what I needed to do.,"I would read the review first, then mark it as positive or negative. Then I would start from the beginning, and I would read each sentence of the review and pick out the important positive description words or the important negative description words that make the review either positive or negative.",Somewhat agree,"Since the words that I picked out were description words they can only mean one thing. For example, the word “amazing” has one meaning. It means that what the person is describing is good, it's very favorable and it's something that they would recommend for others to do or to watch. In contrast seeing the word “bad” or “terrible” in a review shows me that they found something in the movie that they just did not like. Something that they heavily criticize and that they would not recommend anyone else to see it.",The user interface was fine. Nothing needs to be changed.,,,,,,,,,,,18 - 24,Woman,,,Black or African American,,,,,,,,"Some college credit, no degree",,No,No,Yes,,51670,2021-09-07 16:50:41,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:33:49,Disagree,as it was pretty easy to understand the nature of the review and the thoughts were usually consistent throughout the whole review,"understanding the feeling was key, understanding the words being used to describe the review helped me too especially the adjectives ",the initial first and last few sentences were the best give away to gauge this,"nothing overall, i felt the instructions were clear enough regarding the labelling process ",i had no issues overall so im happy with the user interfaces ,,,,,,,,,,,Disagree,as the words were easy to link to whether the review was good or bad,the words which directly state whether the review was good or bad and the more powerful adjectives ,if they directly analysed the review and if they were powerful in describing the reviewer thoughts regarding the movie,if the word was being used too often or if it was ambiguous and i could not gauge it was bad or good ,overall happy with the instructions ,i chose all words as equally important so there was no order per se,Agree,as i wanted to keep the same consistency ,overall happy with the user interfaces ,25 - 34,Man,,Asian,,,,,,,,,Master's degree,,Yes,No,Yes,,74418,2021-09-07 16:50:35,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:35:22,Somewhat disagree,"there were a couple of reviews that were difficult to tell, especially the long one that didn't seem to give much of an opinion, but the rest were quite straightforward ",I read the review and looked fo negative phrases/words,the start and end,nothing I don't think,n/a,Somewhat agree,it was hard to know how much I should highlight e.g. do I highlight just a couple of words or do I highlight the whole sentence ,I looked for strong emotions ,something that gave a clear and strong indication of the feelings,"sometimes where a word had been repeated or a very similar word has already been said, I would leave it out",not sure,"I just started at the top and read through it, looking for keywords",Disagree,I just based it on the context of the review I was reading and didn't consider other reviews ,n/a,,,,,,,,,,,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,thanks,15624,2021-09-07 16:58:33,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,22
2021-09-07 17:36:10,Somewhat agree,"I wasn't entirely sure how to answer this question, because several of the reviews were pretty easy to determine, but the one about populism and elitism in film making was very difficult for me to figure out.",I used the opening sentence of each review as a good first indicator of if the review was going to be positive or negative. Then I kept reading to see if my initial reaction was backed up by the rest of the review. I looked for strong describing words that would help make it obvious as to what the writer was feeling when they wrote the review.,"I focused a lot on the introductory sentence of the review, as well as the last concluding sentence, where writers tend to sum up what they were talking about. Those two areas generally gave me a really good indicator of whether the review was positive or negative.","I don't think anything needs to be more clear. You laid out the instructions very concisely, and they were repeated a few times over, so it was easy to learn and understand.","No errors. I think the interface was fine, and worked well. ",Somewhat disagree,"I don't think selecting the words and phrases was difficult because the harder part had already been done, which was determining if the review was positive or negative. From there it was just a matter of selecting positive or negative words or phrases from the text.",I looked for words and phrases that conveyed strong feelings of positivity or negativity and selected those.,Adjectives that conveyed either very strongly positive or very strongly negative feelings or emotions are the ones that I tended to choose.,"During the word/phrase selection for the review that was about film canon/coming up with a list of best reviews, I had a lot of trouble finding words that conveyed positive or negative feelings/opinions, so there was a few times where I found words that were a lot less obviously positive (since I ended up thinking that maybe the review was a positive one, although I was not sure) and highlighted them, only to realize that they didn't really convey positivity at all.","I think the instructions were very clear, concise, and easy to understand.","I just went through each sentence of the review sequentially and selected words from each sentence, if there were any.",Somewhat agree,"I tended to choose words or phrases that universally have one meaning - either something very positive, or something very negative.",No errors. I think the interface was great as it is. ,,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,26710,2021-09-07 16:57:03,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:37:06,Disagree,Because most of the reviews made it pretty obvious as to whether their reviews were positive or negative due to the words they used.,"I just looked to see if there was either a ton of positive words, such as ""good"", or a ton of negative words, such as ""bad"". I could tell right after reading the first sentence on some reviews due to them explicitly saying the movie was either good or bad.",I focused mostly on the beginning and middle parts of the review.,I honestly don't think it could have been more clear.,"I don't think it needed improvement, it was already very easy to use.",,,,,,,,,,,Strongly disagree,"It was simply a matter of choosing the words that had a positive or negative connotation to them, and the reviewers were pretty clear when using them.","I just chose the positive words that made the review positive, and chose negative words that made the review negative.","What the connotation of the word was, whether it was positive or negative.","There were some cases where a large part of the sentence was negative, and I wasn't sure if highlighting so many words close together would have been the way to go, so I just left it.",The instructions could have clarified if it was fine to highlight a large part of a sentence.,I just highlighted the words as I went along the review. Like I would go through the review from start to finish and choose the words as I went through it.,Strongly agree,"It just makes sense to me that if a word is positive or negative in one review, it would be the same for other reviews as well. It gives me more confidence in knowing the words I chose were the right ones to choose.","I don't think anything could have been improved, they were great.",25 - 34,Man,,Asian,,,,,,,,,Bachelor's degree,,No,No,Yes,"It was an interesting and fun survey, thank you.",84477,2021-09-07 16:55:59,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:41:39,Disagree,enough evidence in transcript,phrases or words that gave a positive or negative vibe,the tone of the writing toward the film,none,notthing,Disagree,words convey a meaning,the tone of the writing,whether the word inferred positive or negative feelings,i chose everything i thought appropriate,maybe the strength of feeling,no particular order.just the context of the review,Disagree,some words can have different nuances,no idea,,,,,,,,,,,65+,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,no,66501,2021-09-07 16:53:29,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,Tapping the words if your computer is touchscreen.,20
2021-09-07 17:41:48,Disagree,"For the most part, this task was actually pretty easy. There was one review that seemed a lot more neutral, and didn't use as many positive or negative terms, but it seemed to lean positive so I went with that. ",When reading I looked for key words that had positive or negative meanings. ,The language use and tone. ,Can't think of anything.,"Couldn't select hyphenated words in their entirety when clicked. Had to select the first word, then the second word. ",,,,,,,,,,,Strongly disagree,It was pretty easy to select them in the context they were provided.,"Whichever words described the authors' feelings the best, those were the ones I selected.",They had to carry positive or negative connotations. ,"There were some instances where the author would convey their emotions with words that, when strung together, obviously connoted positive or negative feelings, but no one word in particular was ""coded"" as such. ",nothing,I'm not sure I understand this prompt. I didn't select them in any order. I just selected them as soon as I thought they were either positive or negative.,Agree,I didn't see the value in selecting words that may be too generic--I thought they should be emotionally charged to better distinguish between positive or negative. ,n/a,35 - 44,Non-binary,,Asian,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,42980,2021-09-07 16:51:06,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:42:19,Somewhat disagree,"it was mostly obvious if it was a good or bad review, only a couple were a bit tricky","going by the words used in the text, if someone recommended the film or said nice things then it was a positive review. If some on had bad things to say then it was a negative review",All of the review determined my decision ,nothing,nothing,Disagree,i found the task pretty simple,I picked out either the positive or negative words,i choose clear discriptive words ,Because out of context the words or phrase might not have sounded positive or negative ,none,"strong clear words or phases, words that needed no explaination as to being positive or negative",Strongly agree,because they are discriptive words and need no other explanation ,nothing,,,,,,,,,,,55 - 64,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,29054,2021-09-07 16:57:43,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:42:41,Somewhat disagree,"Most of the reviews were clearly negative or positive but some of them went into a lot of detail about the movie but without really expressing an opinion about whether it was good or bad, I had to read between the lines a bit on those.","I first looked for whether the reviewer stated whether they thought the movie was good or bad or whether they enjoyed it or not. If they didn't say that I looked for any positive or negative remarks about the technical aspects of the movie such as the acting, directing and so on. If none of those were present I tried to get a feeling for whether the reviewer had positive or negative memories of the movie.","I based it on whether the reviewer said that they enjoyed it or not, whether they said positive or negative things about the writing, acting, directing and other aspects of the movie and whether they had good or bad memories of the movie.","Nothing. The instructions were very clear, no reason to change them.","Nothing, everything seemed to work very well.",Somewhat disagree,Usually the reviewer used some clearly positive or negative words or phrases.,I looked for single words that were positive or negative and simple phrases that were unambiguously positive or negative.,"If it was clearly an expression of the reviewer's opinion of the movie or some aspect of it such as the writing, acting or directing.",Sometimes the reviewer would use words or phrases that would be understood as negative by a human reading them in context but which might be ambiguous when taken out of context.,"Nothing, I don't think anything further was needed.",I just read the review from beginning to end highlighting the appropriate words and phrases then went back and read it again to double check.,Strongly agree,Since the words and phrases are going to be used outside the review from which they came they need to be unambiguously positive or negative when taken out of their original context.,"Nothing, everything seemed very clear and easy to use.",,,,,,,,,,,45 - 54,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,65863,2021-09-07 16:51:07,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
