Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-20 10:35:18,Strongly disagree,because of the words written it was easy to read weather someone thought it was a bad film or not,if someone sounded happy when they were writing and the words they used ,"mainly the words used, and the description of the film ",nothing it was crystal clear ,Strongly disagree,because you know which words are bad and which are good,if the word wasnt a very n ice word ,because the word would mean if it was bad or good ,i didnt consider this i never hesitated or changed my mind,"nothing, it was crystal clear what needed to be done ",what the person had written and how bad the word sounded and how negative or positive the word was ,Neither agree nor disagree,i just considered these reviews i didnt think of any others ,"nothing, it was very easy to understand what i had to do and was very easy to complete",45 - 54,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,i really enjoyed the survey thank you for letting me participate ,24986,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 10:39:39,Disagree,Only one or two were difficult to rate; the others used a lot of emotion which helped.,"I based it on the emotion used, along with negative and positive words. And how well received the movie was taken as a whole.","The language used, as previously stated. It was only difficult when the review was neutral.",The instructions were fair.,Strongly disagree,"It was pretty easy what to select for most, aside from the neutral reviews.",I based it on the emotion and positive and negative views.,If the word conveyed strong emotions.,I didn't have this issue.,Nothing.,I just went in order and doubled back to see if I missed anything.,Strongly agree,Because the intent was clear and most people could recognize that.,"Nothing. These questions were all repetitive and tedious to fill out, however. Sometimes the curtains are just blue.",25 - 34,Prefer to self-describe,Agender,,Black or African American,,,,,,,,Associate's degree,,No,Yes,Yes,,21682,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 10:42:54,Strongly disagree,"Most of the reviews contained emotive words which indicated how the reviewer felt. These feelings were generally strong one way or the other, making it clear if it was a positive or negative review.","I read and understood what the reviewer wrote, and assessed whether the words they used were favourable or unfavourable.","I focused on declarations about the quality of acting, script, music, etc. as well as expressions of 'love' 'hate' and similar words. ","Nothing, the instructions were clear and easy to follow.",Disagree,"In general, the negative and positive phrases stood out",I chose emotion words e.g. 'love'/'hate'. I also chose judgement words such as 'bad'/'great'.,"Characteristics such as whether the word was in capitals (showing strong feeling), or was a descriptive word","The words which were important were generally obvious to me as someone who has analysed a lot of literature and text. On occasion, I chose to highlight a single key word in a sentence rather than multiple words because the single word was descriptive enough on its own","Nothing, thank you",I selected them in order as they appeared whilst I was reading.,Agree,Because most positive or negatively charged descriptive words are consistent across all reviews (or other texts).,"Highlighting words AS I dragged across them, rather than the highlight appearing after I released the mouse.",25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,"Nothing, thank you",34346,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 10:48:51,Somewhat disagree,"Although some were hard to determine, for the most part is was fairly easy to make an assesment",I searched for negative words or signals of displeasure,Searching for words of approval,Instructions were clear enough although prone to interpretation.,Neither agree nor disagree,There could have been additional words to choose but I chose the most relevant,I tried to choose the most relevant words,The impact of the word as pertaining to making the movie good or bad,I determined that not all negative or positive words needed to be chosen to identify my decision,More definable words or phrases would have helped,I chose which words first appeared as positive or negative then reviewed again to see if more might be added,Agree,Words that appeared similar in other examples did reflect my choice in a current example.  ,This was acceptable.  No improvement that I can see.,65+,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,84440,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,,5
2021-08-20 10:52:11,Somewhat agree,I had to think over and over again.,I was on the look out for all the possible negative adjectives.,Negative word-describing adjectives.,The instructions were clear.,Somewhat agree,I was on the lookout for key words.,Looking for conjoining adjectival words.,Its adjectival meaning.,"When i thought the word was not an adjective, and it probably doesn't qualify as negative or positive.",The instructions were clear.,"Most important, then less important.",Disagree,I selected every words and phrases that i thought were negative.,The survey was smooth and interesting. No hitch whatsoever.,35 - 44,Man,,,Black or African American,,,,,,,,Master's degree,,No,No,Yes,,81847,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-20 10:54:01,Strongly disagree,The authors expressed their opinion quite openly.,"I looked for the author's opinion, which was usually pretty obvious.",Adjectives,none,Neither agree nor disagree,mostly adjectives,I looked for the words describing the movie or acting,if it was an adjective,If the author was not describing the movie itself or the acting i did not include it,none,I did not consider the order in which I selected words,Neither agree nor disagree,I did not consider if the words were in other reviews if they would be relevant,none,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,Yes,Yes,none,66873,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-20 10:54:23,Disagree,It was easy,I read careful and clicked a phrase summarizing the statement ,Main key point for the movie ,It was clear and I understood it,Disagree,It was not difficult to use my mouse to select,By selecting the phrase with my mouse ,The description of the movie ,Because it didn't make reference to the movie in summary ,It would have been very specific ,"Classification, selecting words, and confidence selection ",Somewhat disagree,I selected the words or phrase based on the movie review ,No issues encountered ,35 - 44,Man,,,Black or African American,,,,,,,,Master's degree,,Yes,Yes,Yes,,56070,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 11:04:55,Strongly disagree,Is really easy to determine when a person dislikes a movie,I read the whole review and that allowed me to understand the feelings of the reviewer,Usually at the first and last sentences of the review,I think the instructions were very clear,Disagree,For most of the reviews it was easy to find the words or phrases with positive or negative connotations ,I searched for phrases and words that conveyed a negative or positive sentiment,Phrases with strong adjectives,Sometimes the reviewer repeated himself in different parts of the review so I only selected one of such instances,I can't think of anything in particular,I just read the review from top to bottom and selected the words and phrases while I was reading,Strongly agree,I was following the instructions given at the beginning of the study,The interface worked as intended and I don't think it needs any changes,45 - 54,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,24087,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 11:09:00,Somewhat disagree,"If you read the whole review, it's not so hard to seperate positive words/phrases from negative ones.",Read the review and judge it as a whole first. Then start weighing the pros and cons of each statement. Some were neutral/factual. More negative/positive statements led to my decision.,"The beginning, middle, and end.",All instructions were clear and easily understood.,Disagree,"If you know what a word means and have the proper context, it's not difficult.",I selected words and phrases directly linked to the movie being reviewed.,The meaning and how it was used.,"One of the long reviews had a 'history lesson' as the largest part in the middle. It was a little confusing at first and had some seemingly relevant words and phrases, but I managed to seperate it out.",Nothing. The instructions were on point.,I selected them as I read the review for the second time during the selection process.,Disagree,Because every review is different and presumably written by different people.,No errors encountered. Everything worked very well. ,45 - 54,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,Thank you for the opportunity to participate in your study.,23374,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
2021-08-21 10:28:39,Neither agree nor disagree,Straightforward.,Positive and negative adjectives,Word choice,Nothing,Somewhat disagree,Easy,Looking for positive/negative adjectives,Whether it was good or bad,This situation did not happen.,Nothing.,I started from the top and worked my way down.,Strongly agree,It's what the instructions seemed to suggest.,Nothing.,18 - 24,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,93562,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-21 10:32:52,Agree,Some of the reviews were vague and poorly written.,I looked for parts that stood out in the reviews.,The critique of them.,Nothing,Somewhat agree,Because some of the reviews were vague and poorly written.,I chose the ones that stood out to me.,The ones that were the clearest at describing the writer's opinion.,Because they didn't stand out enough to me.,Nothing,I selected them based on how clear they were.,Strongly agree,Because they stood out.,Nothing,35 - 44,Man,,,,,Native American or Alaskan Native,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,86822,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,1
2021-08-21 10:34:32,Disagree,Except for one the reviews were as over the top as the movies,I just looked to see if the reviewer recommended the film,the description of the movie overall - a few reviewers hated a movie but did say one or another actor did the best with what they had,instructions were clear enough,Somewhat agree,"a few of the reviews would have been completely highlighted if I did not make a choice which were the most important; ""most important"" is rather subjective","I mostly looked for the strongest words, mostly about the movie itself- though a few times I highlighted terms about a performance ",the non-ambiguity of a word,I don't recall any off without having the reviews in front of me,"they were clear enough, thought the tool was kind of hard to use- it needs to show what I have highlighted as I am doing so, instead of waiting until I am done",I just went sequentially from the beginning of the review,Somewhat agree,those were the instructions,fix the highlighting tool! There needs to be feedback as I scroll over words,45 - 54,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,30878,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,Tapping the words if your computer is touchscreen.,2
2021-08-21 10:34:48,Disagree,"They were all pretty slanted toward one or the other, not very subtle or mixed reviews","The key words they used, how they described the acting and plot","adjectives, just reading what they wrote, not hard","a mixed rating would make sense but it was not needed, all were either extremely positive or extremely negative",Somewhat disagree,It was pretty easy,I picked adjectives mostly,what is this?  This involved reading straight forward reviews.  If they said the movie sucked or if they flat out said it was terrible that was important,"If they repeated themselves, if they were redundant, said the same thing twice",no,"I did not rank the words/phrases, I just went through and selected what I felt was important, there was no order...",Somewhat disagree,Context matters,no issues,35 - 44,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,50471,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-21 10:38:07,Disagree,Most reviews were cut and clear except 2 or 3. The Scorsese one was hard to tell if he was being positive or neutral. The Blue Lagoon was also difficult to tell if he was being positive or negative. ,I looked for the reviewers general tone when talking about the motion picture.,I focused on key words that would signify negative or positive reviews.,Nothing could have been more clear about labeling them negative or positive however; I was confused about picking key words in the reviews and whether or not to highlight them or just click them.,Somewhat agree,Some reviews did not have many negative or positive words and seemed to be a neutral feedback or in between. I also was not sure how many words I should highlight even though the instructions said in-between 10 and 20 percent. ,I looked for positive or negative phrases in the review. If there were a lot of positive and negative phrases I attempted to pick the ones that stood out the most.,How negative or positive the word or phrased seem.,If there was a lot of negative phrases and words such as the Chuck Norris review I only chose certain negative phrases and words.,I would have liked to know whether or not we highlighted the words and phrases or just clicked on a word.,I tried to only select up to 20% of words and phrases in a review. ,Somewhat agree,I did my best to pick positive and negative reviews that really stood out.,The directions could have been listed on each page for how to select words and phrases in the review.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,I don’t know,Yes,I really liked the survey and love movies,78224,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,3
2021-08-21 10:40:39,Disagree,Usually within first sentence you could tell boy the words used,If negative it usually said words like 'terrible' 'awful' and some had a lot of punctuation to be extra dramatic!,"Key words - great, awful, would recommend, hated it eat",it was very clear ,Somewhat disagree,sometimes there were so many words to choose it was hard keeping within 10-20%. ,positive words usually were positive reviews. sometimes needed to highlight a whole sentence to make it make sense. ,if it made sense as a whole - if you like chuck Norris don't watch this film! the descriptive words were very important. ,sometimes I felt the phrase was too long. ,they were clear,I went from top to bottom of review,Disagree,each review was different and they could have used a similar phrase in a different way ,it was great,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,33228,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-21 10:43:32,Disagree,Most of the time it was quite clear the tone of the review by the words they used.,"If it was negative, it would be a more condescending vocabulary. If it was positive, they would either praise the work or highlight what they accomplished.",The vocabulary.,n/a,Strongly disagree,It was consistent throughout the reviews whether they were positive or negative.,The words had to be consistent throughout in terms of whether they were complimentary or critical.,"if it was negative, I mainly picked the adjectives that illustrated that. If it was positive I tried to highlight where the review gave praise.",If it was describing things that actually happen in the movie and not from the reviewer's own opinion or perspective.,n/a,I just went top to bottom through each sentence.,Disagree,I never based my judgement on what other reviews have used.. i saw each review as its own.,passing onto this stage of the test took a while for it to load.. I had to go back and go forward again for it to work.,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,18248,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-21 10:45:28,Disagree,"The comments were easy to understand. However, two of the commentaries were almost neutral with their stance.",I read the whole review and tried to put myself in their place. I visualized their words and tried to feel the experience as if it were my own.,"I looked for negative descriptive words and an overall negative context. If neither are found, they are neutral or positive.",All instructions were clear.,Strongly disagree,The vocabulary was easy to determine as positive or negative.,"I read the entire review first, to determine tone. Then I went back through and clicked each word that backed up the overall, dominant tone.",I chose the words that made negative or positive references to the film/its production.,"There were negative words used to describe a negative situation in the films themselves, but the overall tone of the reviews were positive. I didn't select the words that described the film's plotline.",Everything was very clear.,"I selected them from the top to the bottom of the paragraph, as I was re-reading the reviews.",Somewhat agree,I selected words that didn't rely on review context to be seen as positive or negative.,The review text was very large.,45 - 54,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,48657,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-21 10:50:46,Disagree,You could tell right away the sentiment of the reviews.,Look for positive or negative keywords/sentiments.,The sentiment of the movie.,None,Somewhat disagree,It was easy to determine the connotation of the words.,Find words describing the movie review.,If it was describing the movie.,It was not important in describing the movie.,None,Pick positive/negative words near a description of the movie.,Neither agree nor disagree,I picked any words that described a movie but tried to keep it original.,None,Prefer not to say,Prefer not to say,,,,,,,,,Prefer not to say,,Prefer not to say,,Prefer not to say,Prefer not to say,Prefer not to say,,71195,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
2021-08-21 10:50:48,Disagree,People usually were very clear with what they were saying. The only time it was hard was when they retold the entire plot. ,I would look for words that expressed if they liked it or not then tell by their attitude in their writing. ,I focused on key-words and attitudes. ,"Nothing, it was clear",Agree,I tried to think like an AI would be thinking to pick up words so I tried to limit the fluff. ,I would look for words first then phrases,If it was a word that could be used to describe something as positive or negative,There were too many words in the phrase that would confuse the AI,if we were able to do phrases but exclude a word or two,if they were definitely positive or negative,Strongly agree,i knew this was for an AI research and thats how they work,n/a,18 - 24,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,30716,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,3
2021-08-21 10:53:04,Strongly disagree,"Most of the reviews had a clear position. A couple were ambiguous, giving more of an unbiased overview. ","I looked for key words, and if more negative aspects were described than positive, I would label it as negative, etc.",I used the overall tone to base a final decision. The entire passage was used by me. ,n/a,Strongly disagree,"It was easy to tell whether something was positive, negative, or neutral. ","I looked for descriptors on the plot, actors, etc. ",A strong emotion was the aspect I looked for. ,"I didn't deem them as strongly emotional, clear, or relevant. ",n/a,"I highlighted them as I read the passage, naturally. ",Somewhat agree,"There's common phases the are repetitively used between reviews. This makes it easy to identify them, but one must also be on the lookout for uncommon phrases. ",Everything worked fine for me (Mouse/Laptop) I had no issues. ,25 - 34,Man,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,10408,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,Highlighting words with arrow keys.,Tapping the words if your computer is touchscreen.,1
2021-08-21 10:55:21,Somewhat disagree,Most of the reviews used strong words to describe how good or bad they thought the movie was,The biggest factor was the use of very positive or negative words. Most people straight up said whether they liked it or not.,I focused on the feelings and commentary from the writer (ignored most of the plot summaries),nothing. Instructions were very clear,Somewhat disagree,There was only maybe one or two reviews that didn't use strong positive or negative words in it.,If the word was part of a subjective opinion and clearly positive or negative it seemed important,Negative or positive connotations,"There was one review that described racism and other negative subject matter in the movie. I almost selected those words, but even though I would say racism is a negative word, it was being used to describe the plot, not the writer's opinion. ",nothing,I re-read the passage and selected them as I read.,Agree,This seemed like it made the most sense.,nothing,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,77835,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-21 11:00:03,Disagree,I think all but one review made it very clear how the viewer felt about the movie.,"I skimmed each review at first, looking for key words and overall tone. ",Key words and overall tone of the review. Often the first and last sentences made it clear. ,n/a,Somewhat disagree,In some cases it was difficult to pick out specific words or short phrases that matched the overall tone of the review. ,"I looked for words with positive or negative connotations, but considered their context as well. ",Strong positive or negative connotation. ,"In some cases words didn't necessarily relate to the view's opinion. E.g. ""bad guy"" to mean villain. In that case ""bad"" isn't necessarily how the viewer felt about the movie. ",n/a,"I read carefully from beginning to end of each review. After, if there was an area with few highlights I would revisit it to be sure I didn't miss anything obvious. ",Agree,I tried my best to select words/phrases that would mean the same thing in other reviews. But it's possible their meaning would change in a different context.,n/a,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,42709,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-21 11:06:15,Somewhat disagree,"Most of the time it was easy, as they would either praise it or say how bad it was at the beginning. But there were two that more stated facts about the movie and didn't really have many opinions.",Usually their opening sentence would either say the film was amazing or horrible. The few that didn't I read through what they wrote and tried to see if they were complimentary about the movie or more critical.,"The beginning, then I just evaluated the rest to see if they were consistent in their evaluation.","No, the instructions were fine.",Neither agree nor disagree,"Most of the time it was easy as there were some really clear words such as hate, love, awesome etc, but other times there were more subtle compliments. Other times it was positive in that context but might not necessarily be a good thing otherwise. ",I looked for positive or negative words that were very clear in their meaning. ,Something that was very concrete and strong in its meaning. If the word or phrase was commonly associated with an emotion then I would select it.,"The only time I didn't was if in that situation it was positive/negative but if applied to another movie might not be a good thing. Or it could be that while they considered a characteristic to be bad, someone else might find that description to be what they are looking for. One person's 'monotonous tone' might be a good thing to someone who sees the character differently.",Nothing,"I read it over once, and then during the second read through I selected the words/phrases from the top to bottom.",Strongly agree,Those were the instructions,No issues or errors,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,38867,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-21 11:07:02,Strongly disagree,The language made it easy to see if the reviewer felt negative or positive about the film.,The language used to describe the film and the feeling conveyed about the movie through out the words and phrases.,The feelings the reviewer expressed about viewing the film as well as the professionalism and excellence of lack there of of the craft of film making noted in the review.,Nothing. The instructions were very clear.,Strongly disagree,The words used to describe the films were expressive and it was easy to pick up on how the reviewer felt about the film.,I looked for words or phrases expressing love or hatred towards all the elements of the film being discussed and the way the person felt about spending time watching the film.,The passion behind the word or phrase. ,Some of the words and phrases were descriptive in and of themselves but not that important to the overall message behind the review.,I thought the instructions were very clear.,For the most part I worked my way down from the beginning to the end of the review.,Somewhat agree,Because these words could be taken out of context and have different meanings when applied to different films.,User interface was easy.,55 - 64,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,25281,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-21 11:09:08,Strongly disagree,It wasn't difficult because because the article was easy to understand and straight forward.,My process of determining whether a review was positive or negative was by either the mood or feeling of the writer and positive or negative comments about each article.,I focussed on the comments about the articles.,Yes,Disagree,It was straight to the point and understandable,The mood of the writer and the various comments.,The mood.,This is because it didn't match the given instructions,"Yes, more important","Mood, feeling and comments",Strongly agree,This is because the response depends on the kind of review,The choice of reviews and also making the reviews more understandable,25 - 34,Man,,,Black or African American,,,,,,,,Master's degree,,Yes,Yes,Yes,Nothing at all. Thank you for this survey.,81685,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Select words or phrases that suggest that the movie review is either positive or negative.
 Classify a movie review as positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-21 11:09:30,Strongly disagree,You just read the review and interpreted what was being said. All of the reviews could easily be deciphered.,"I read the review, some of them were instantly recognisable as positive or negative, others, like the description of the Scorsese movie about making films, were slightly more nuanced and required a bit more reading. I read those twice...

There was another which was someone describing a film which was nostalgic to them, but that whose special effects had maybe not aged well, but in the end nostalgia is a generally positive emotion, so it was a positive feeling review with a caveat. After I had read this twice I knew it was positive.

The others were so clearly negative or positive I simply read them once and I knew.","The words, most of the really negative ones were dripping with phrases such as 'worst ever'. The positive ones tended to be slightly less gushing.",I felt the instructions were very clear really. I wanted a 'neutral' button for the one which was about an old movie that the writer was nostalgic about.,Somewhat agree,"I found that the mouse didn't always select the phrases well but I managed in the end, it just took a little longer.","I tried to look for words that described the movie specifically, that were very clearly negative or positive. I highlighted key words that were negative or positive and gave a whole sentence where thee words did not stand alone well.","They had to be really overtly positive or negative. Because this was described as a way to teach an algorithm about what words or phrases could be considered negative or positive in a movie review, I also had in my mind that common phrases were of great importance.",I did not do this to my knowledge.,I think it would have just been better to use the normal text highlighting sequence to complete this.,I just went through the text from beginning to end highlighting the words and phrases as I went.,Neither agree nor disagree,"I think I tried to do this because of it being used to train an algorithm, but I feel that sometimes this was less possible and I included some parts to prove that it was a positive or negative review that may have been quite unique to the reviewer.","I just think that maybe using the highlight text function to select the key words and phrases would have been better, everything else worked fine. And just to add I managed to make it work for me and select all the text I wanted to select, it was just a bit clunky, I use a touchpad mouse as is standard on most laptops.",35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,78328,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,Highlighting words with arrow keys.,,5
